Referencia contrato,Objeto,Entidad,Entidad contratante,Importe licitación,Tipo contrato,Procedimiento adjudicación,Nº licitadores,Fecha formalización,Adjudicatario,Importe adjudicación,Nombre PDF,Url PDF,uri
2016100085,Servicio de Unidad Móvil,Diputación de Cádiz,Servicio de Producciones Audiovisuales,2541.00,Menores,Menores,1,29/02/2016,"Mediasur Producciones  Audiovisuales, S.L.",2541.00,29/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/802.csv
Factura nº 18,"Presentador Gala de Entrega de Premios Finales Circuitos Diputación de Cádiz, celebrada en Jerez de la Frontera.",Diputación de Cádiz,Diputación de Cádiz,256.50,Servicio,Contrato menor,3,29/02/2016,JUAN IGNACIO LÓPEZ FERNANDEZ,256.50,29/02/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1832.csv
Factura nº  CO CO/000243,Lectura Fotocopias Impresoras Servicio de Deportes,Diputación de Cádiz,Diputación de Cádiz,47.26,Servicio,Contrato menor,1,01/03/2016,"SISTEMAS DE OFICINAS DE CÁDIZ, S.L.",47.26,01/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1847.csv
2016/2259,Reparación vehículo 3527 CBZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,861.93,MENORES,MENORES,1,03/03/2016,"CABELLO MOTOR, S.L.",861.93,03/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1108.csv
M-1330,Compra de 5 Switch y 1 fuente de alimentación,Diputación de Cádiz - IEDT,IEDT,143.32,Compra,-,4,03/03/2016,"Sherrycopier, S.L.",143.32,03/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/203.csv
M-1329,Servicios de Consultoría para la concertación con agentes clave de la provincia que permita establecer un marco de colaboración de cara a los proyectos europeos 2014-2020,Diputación de Cádiz - IEDT,IEDT,17000.00,Servicios,-,3,03/03/2016,"PSICAS AYF, S.L.",16150.00,03/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/201.csv
SUMIN/00003/2016,Material Vegetal para el CEAG (Jerez de la Fra),Diputación de Cádiz,Diputación Provincial,15288.75,Suministro,Menor,3,07/03/2016,"Girona Plants, S.L.",13833.00,07/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/408.csv
SUMIN/00004/2016,Adquisición de una lavadora para Mayordomía,Diputación de Cádiz,Diputación Provincial,578.51,Suministro,Menor,3,07/03/2016,"El Corte Inglés, S.A.",315.41,07/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/304.csv
Factura nº Emit-28,"Seguridad Gala de Entrega de Premios Finales Circuitos de Diputación, celebrada en Jerez de la Frontera",Diputación de Cádiz,Diputación de Cádiz,50.82,Servicio,Contrato menor,3,08/03/2016,"ESTADRIN SEGUR, S.L.",50.82,08/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1831.csv
SERVI/00005/2016,Prestación del servicio de limpieza en SPRyGT San Roque,Diputación de Cádiz,Diputación Provincial,8288.00,Servicios,Menor,4,10/03/2016,"Limpiasol, S.A.",4345.32,10/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/303.csv
2016/3102,REPARACION DE VEHICULO 8830 GHB,Diputación de Cádiz,"CABELLO MOTOR, S.L.",595.91,MENORES,MENORES,1,11/03/2016,"CABELLO MOTOR, S.L.",595.91,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1212.csv
2016/2519,REPARACION DE VEHICULO 3527 CBZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,251.68,MENORES,MENORES,1,11/03/2016,"VIRUES QUINTERO , ANTONIO",251.68,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1209.csv
2016/2515,REPARACION DE VEHICULO 2873 DZL,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,54.69,MENORES,MENORES,1,11/03/2016,"VIRUES QUINTERO , ANTONIO",54.69,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1205.csv
2016/2518,REPARACION DE VEHICULO  9221 CXH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,101.58,MENORES,MENORES,1,11/03/2016,"VIRUES QUINTERO, ANTONIO",101.58,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1208.csv
2016/2505,REPARACION DE VEHICULO 0125 CVZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,863.94,MENORES,MENORES,1,11/03/2016,"VIRUES QUINTERO, ANTONIO",863.94,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1202.csv
2016/2501,Reparación de vehículo 7123-FXR,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,638.31,MENORES,MENORES,1,11/03/2016,"VIRUES QUINTERO, ANTONIO",638.31,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1112.csv
2016/2496,Reparación de vehículo CA-2608-BB,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,220.83,MENORES,MENORES,1,11/03/2016,"VIRUES QUINTERO, ANTONIO",220.83,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1113.csv
2016/2497,Reparación vehículo 2590-FGH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,90.44,MENORES,MENORES,1,11/03/2016,VIRUES QUINTERO ANTONIO,90.44,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1110.csv
2016/2499,Reparación de vehículo 7123-FXR,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,141.03,MENORES,MENORES,1,11/03/2016,"VIRUES QUINTERO, ANTONIO",141.03,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1111.csv
2016/2517,REPARACION DE VEHICULO 4208 GLH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,79.13,MENORES,MENORES,1,11/03/2016,VIRUES QUINTERO ANTONIO,79.13,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1207.csv
2016/2509,REPARACION DE VEHICULO 4198 GLH,Diputación de Cádiz,DIPUTACIN PROVINCIAL DE CADIZ,54.69,MENORES,MENORES,1,11/03/2016,"VIRUES QUINTERO, ANTONIO",54.69,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1203.csv
2016/2503,Reparación de vehículo 3673 DNT,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,197.91,MENORES,MENORES,1,11/03/2016,"VIRUES QUINTERO, ANTONIO",197.91,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1201.csv
OBRAS/00008/2016,63/14 Asfaltado en C/ Río Guadiaro en Los Angeles,Diputación de Cádiz,Diputación Provincial,37921.19,Obras,Menor,3,11/03/2016,"Manuel Alba, S.A.",33750.00,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/306.csv
OBRAS/00009/2016,53/14 Reposición de acerado en la C/ Mª Luisa,Diputación de Cádiz,Diputación Provincial,25206.61,Obras,Menor,3,11/03/2016,Felipe Gomar García,21000.00,11/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/401.csv
2016/2516,REPARACION DE VEHICULO GHB,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,915.07,MENORES,MENORES,1,14/03/2016,"VIRUES QUINTERO, ANTONIO",915.07,14/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1206.csv
2016/2514,REPARACION DE VEHICULO 3673 DNT,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,111.54,MENORES,MENORES,1,14/03/2016,"VIRUES QUINTERO, ANTONIO",111.54,14/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1204.csv
001/2016,Contrato de patrocinio para la celebración de la 1ª Muestra Hostelería y Restauración de la Provincia de Cádiz - Cádiz Gourmet 2016,Diputación de Cádiz,Servicio de Gestión,4000.00,Menores,Menores,1,14/03/2016,Asociación Chiclanera Hostelería,4000.00,14/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/913.csv
A/63,Adquisición chapas y cartel impreso (Día Mundial del Derecho del Consumidor),Diputación de Cádiz,Junta Arbitral Provincial de Consumo,1306.80,Menores,Menores,1,14/03/2016,"Soligras, S.L.",1306.80,14/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/901.csv
2016/2520,REPARACION DE VEHICULO 8830 GHB,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,15.29,MENORES,MENORES,1,15/03/2016,VIRUES QUINTERO ANTONIO,15.29,15/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1210.csv
OBRAS/00007/2016,Acceso a graderío antigua plaza de toros,Diputación de Cádiz,Diputación Provincial,18595.04,Obras,Menor,4,16/03/2016,Daniel Rodríguez Mateos,15355.79,16/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/305.csv
2016/2911,"PAPELERAS, PERCHEROS DE OFICINA",Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,164.56,MENORES,MENORES,1,21/03/2016,"OFISAL OFICINAS, S.L.",164.56,21/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1211.csv
SERVI/00006/2016,"Desinsectación, desratización y desinfección CTAs Algeciras y La Línea",Diputación de Cádiz,Diputación Provincial,900.00,Servicios,Menor,4,21/03/2016,Héctor Budiño Gutiérrez (No+Plagas),600.00,21/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/407.csv
OBRAS/00013/2016,Cambio de lámparas de desc. por lámparas LED con telegestión,Diputación de Cádiz,Diputación Provincial,31157.33,Obras,Menor,3,22/03/2016,"Neocón Bornos, S.L.U.",29700.00,22/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/403.csv
01/2016,"Servicio de maquillaje de personajes entrevistados par la campaña ""Soy de Cádiz""",Diputación de Cádiz,Servicio de Producciones Audiovisuales,798.60,Menores,Menores,1,25/03/2016,Jessica Alcalá Alcolea,798.60,25/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/804.csv
Factura nº  C 65,UD. de Jornada de 3 horas para Montaje de Dispositivo Corte Total Carril de Autovía CA-33 Sentido Cádiz y Colocación de Conos durante un km. incluida aportación de maquinaria y desplazamiento del equipo.,Diputación de Cádiz,Diputación de Cádiz,907.50,Servicio,Contrato menor,3,28/03/2016,"SEÑALIZACIONES ORTEGA, S.L.",907.50,28/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1843.csv
Factura nº  Emit- 30,Gestión y control para la XXX Media Marathón Bahía de Cádiz- Carrera de la Libertades,Diputación de Cádiz,Diputación de Cádiz,650.00,Servicio,Contrato menor,3,28/03/2016,FEDERACIÓN ANDALUZA DE ATLETISMO,612.00,28/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1841.csv
2016/4816,REPARACION VEHICULO FGH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,0.01,MENORES,MENORES,1,29/03/2016,"VIRUES QUINTERO, ANTONIO",123.50,29/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1401.csv
Factura nº  CO CO/000690,Lectura fotocopias impresoras Servicio de Deportes,Diputación de Cádiz,Diputación de Cádiz,80.66,Servicio,Contrato menor,1,29/03/2016,"SISTEMAS DE OFICINAS DE CÁDIZ, S.L.",80.66,29/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1844.csv
201611966640,Fotocopias,Diputación de Cádiz,Servicio de Producciones Audiovisuales,57.14,Menores,Menores,1,29/03/2016,"Sistemas de Oficinas Cádiz, S.L.",57.14,29/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/805.csv
SERVI/00007/2016,Estudio Geotécnico para análisis de Patologías en la calle Alamillo en Alcalá de los Gazules,Diputación de Cádiz,Diputación Provincial,4787.00,Servicios,Menor,4,29/03/2016,Arcotierra SL,3850.00,29/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/409.csv
SUMIN/00016/2016,Adquisición de 2 butacas de 2 plazas,Diputación de Cádiz,Diputación Provincial,991.74,Suministro,Menor,1,30/03/2016,"Ofisal Oficinas, S.L.",472.00,30/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/405.csv
OBRAS/00014/2016,Instalación de la climatización en la planta tercera del Edificio Roma,Diputación de Cádiz,Diputación Provincial,42104.97,Obras,Menor,4,30/03/2016,"Climatiza Soluciones Sur, S.L.",32302.49,30/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/404.csv
2016/3245,REPARACIN VEHICULO 8830 GHB,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,335.11,MENORES,MENORES,1,31/03/2016,"CABELLO MOTOR, S.L.",335.11,31/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1216.csv
2016/3242,REPARACION DE VEHICULO 4047 BBZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,58.79,MENORES,MENORES,1,31/03/2016,"CABELLO MOTOR, S.L.",58.79,31/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1215.csv
2016/3104,REPARACION VEHICULO 3673 DNT,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,138.97,MENORES,MENORES,1,31/03/2016,"CABELLO MOTOR,S.L.",138.97,31/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1213.csv
2016/2702,CONSUMO AGUA ENERO 2016,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,7.18,MENORES,MENORES,1,31/03/2016,CONSORCIO ZONA FRANCA,7.18,31/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1218.csv
2016/3141,CONSUMO AGUA MARZO,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,12.40,MENORES,MENORES,1,31/03/2016,CONSORCIO ZONA FRANCA,12.40,31/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1220.csv
2016/2855,CONSUMO AGUA FEBRERO 2016,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,7.18,MENORES,MENORES,1,31/03/2016,CONSORCIO ZONA FRANCA,7.18,31/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1219.csv
2016/3246,REPARACION DE VEHICULO 4047 BBZ,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,83.56,MENORES,MENORES,1,31/03/2016,"CABELLO MOTOR, S.L.",83.56,31/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1217.csv
2016/3241,REPARACION DE VEHICULO 9232 CXH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,83.76,MENORES,MENORES,1,31/03/2016,"CABELLO MOTOR, S.L.",83.76,31/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1214.csv
SUMIN/00017/2016,"Fjas de protección lumbar RR.MM Puerto, Linea y B. Mantenimiento",Diputación de Cádiz,Diputación Provincial,413.00,Suministro,Menor,6,31/03/2016,José Queraltó Rosal,413.00,31/03/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/406.csv
A-66227,ASADAKA. Promover diferentes acciones formativas socioeducativas y de sensibilización a través de la animación infantil y juvenil a la falta de oportunidades en los barrios periféricos y marginales de Tánger,Diputación de Cádiz,Servicio de Cooperación Internaciional,9641.00,Menores,Menores,1,04/04/2016,"Carriles Animación y Aventura, S.L:",9641.00,04/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/908.csv
OBRAS/00015/2016,Modernización ascensores del Palacio Provincial,Diputación de Cádiz,Diputación Provincial,12998.72,Obras,Menor,3,05/04/2016,"Zardoya Otis, S.A.",12998.72,05/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/602.csv
OBRAS/00016/2016,Sustitución de la Acometida de agua potable en El Madrugador,Diputación de Cádiz,Diputación Provincial,5843.9,Obras,Menor,3,06/04/2016,Di2Portuense,4247.87,06/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/603.csv
LHF16006,"Cartelería del Proyecto Ganesha de Educación para el Desarrollo de centros de mayores, realizado en los Municipios de Menores de 20.000 habitantes.",Diputación de Cádiz,Diputación Provincial de Cádiz,433.18,suministro,Contratos menores,1,07/04/2016,Asociación BioArtesanal La Huerta,433.18,07/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1801.csv
A/88,Placa de metacrilato para ayuntamientos de los Puntos de Información al Consumidor,Diputación de Cádiz,Junta Arbitral Provincial de Consumo,816.75,Menores,Menores,1,11/04/2016,"Soligras, S.L.",816.75,11/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/903.csv
SUMIN/00021/2016,Adquisición de 4 maletin emergencia,Diputación de Cádiz,Diputación Provincial,1623.24,Suministro,Menor,4,11/04/2016,"Praxair España, S.L.U.",1200,11/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/610.csv
SUMIN/00015/2016,"Mobiliario Oficina CAEL en Edificio Europa, Zona Franca, Cádiz",Diputación de Cádiz,Diputación Provincial,3309.96,Suministro,Menor,4,12/04/2016,"Ofisal Oficinas, S.L.",3177,12/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/607.csv
SUMIN/00010/2016,Aplicativo informático para la gestión de subvenciones,Diputación de Cádiz,Diputación Provincial,17775,Suministro,Menor,1,12/04/2016,"AYTOS SOLUCIONES INFORMATICAS, S.L.U.",17775,12/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/606.csv
2016/3680,REPARACION DE VEHICULO 4208 GLH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,156.77,MENORES,MENORES,1,13/04/2016,"VIRUES QUINTERO, ANTONIO",156.77,13/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1301.csv
2016/3676,REPARACION VEHICULO 4191 GLH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,12.39,MENORES,MENORES,1,13/04/2016,"VIRUES QUINTERO, ANTONIO",12.39,13/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1221.csv
2016/3678,REPARACION DE VEHICULO 4198 GLH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,0.01,MENORES,MENORES,1,13/04/2016,"VIRUES QUINTRO, ANTONIO",119.57,13/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1222.csv
SERVI/00008/2016,Ambulancia UVI móvil con servicio médico emergencias sanitarias para el desarrollo de la jornada de clausura de la Copa Diputación de escuelas de fútbol a celebrar en las instalaciones de la Ciudad Deportiva Bahía de Cádiz ¿El Rosal¿ el 23/04/16 en horario de 9:30 a 14:30,Diputación de Cádiz,Diputación Provincial,549.99,Servicios,Menor,3,18/04/2016,"Socorrismo y Servicios, S.L.",434.45,18/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/609.csv
2014162016,Servicio de Mensajería Envío de Placas a los Ayuntamientos,Diputación de Cádiz,Junta Arbitral Provincial de Consumo,146.41,Menores,Menores,1,21/04/2016,"Global Mensapress, S.L.",146.41,21/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/904.csv
Nº Factura: 8,"Organización, Desarrollo, Control y Arbitrajes del Programa de Promoción del Baloncesto en la Sierra.",Diputación de Cádiz,Diputación de Cádiz,1150.00,Servicio,Contrato menor,3,22/04/2016,CLUB BALONCESTO PRADO DEL REY,1150.00,22/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1875.csv
Factura nº  2016-1085-A,"Ambulancia UVI Móvil (Médico, ATS y Técnico) cobertura de emergencias sanitarias, Jornada de Clausura de la XXI Copa Diputación de Escuelas de Fútbol.",Diputación de Cádiz,Diputación de Cádiz,500.00,Servicio,Contrato menor,3,26/04/2016,"SOCORRISMO Y SERVICIOS ,S.L.",434.45,26/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1829.csv
Factura nº  CO CO/000790,Fotocopias fotocopiadoras del Servicio de Deportes,Diputación de Cádiz,Diputación de Cádiz,129.45,Servicio,Contrato menor,1,26/04/2016,"SISTEMAS DE OFICINAS DE CÁDIZ, S.L.",129.45,26/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1838.csv
OBRAS/00017/2016,Ampliación y extensión Centro Transformac.en Mercado de Abastos,Diputación de Cádiz,Diputación Provincial,39338.84,Obras,Menor,1,26/04/2016,"Endesa Distribución Eléctrica, S.L.U.",33283.72,26/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/604.csv
F/2016/4304,Impresión dípticos para la presentación del Servicio de Memoria Histórica y Democrática,Diputación de Cádiz,Diputación Provincial de Cádiz,387.20,SUMINISTRO,CONTRATOS MENORES,1,27/04/2016,"Copistería San Rafael, S.L.",387.20,27/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/905.csv
Nº Factura: F/183/15-16,"Organización y mantenimiento de las instalaciones, voluntarios, papeleras, otros. Jornada de Clausura XXI Copa Diputación de Escuelas de Fútbol.",Diputación de Cádiz,Diputación de Cádiz,300.00,Servicio,Contrato menor,3,27/04/2016,CÁDIZ CLUB DE FÚTBOL S.A.D.,300.00,27/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1837.csv
SUMIN/00023/2016,Adquisición de 5 sillas giratorias para Registro Gral.,Diputación de Cádiz,Diputación Provincial,628.6,Suministro,Menor,3,27/04/2016,"Ofisal Oficinas, S.L.",519.5,27/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/612.csv
SUMIN/00024/2016,Vehículo Dumper para la ejecuciónd e las obras afectas al PROFEA,Diputación de Cádiz,Diputación Provincial,17702.85,Suministro,Menor,5,28/04/2016,"Antonio Dominguez, S.L.",17250,28/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/613.csv
2016/3681,REPARACION VEHICULO 7123 FXR,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,172.30,MENORES,MENORES,1,29/04/2016,VIRUES QUINTERO ANTONIO,172.30,29/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1302.csv
2016/4820,REPARACION VEHICULO 2590 FGH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,312.52,MENORES,MENORES,1,29/04/2016,VIRUES QUINTERO ANTONIO,312.52,29/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1403.csv
2016/4819,REPARACION VEHICULO 2873 DZL,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,1289.90,MENORES,MENORES,1,29/04/2016,"VIRUES QUINTERO, ANTONIO",1289.90,29/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1402.csv
2016/4855,REPARACION DE VEHICULO 8830 GHB,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,0.01,MENORES,MENORES,1,30/04/2016,"CABELLO MOTOR, S.L.",56.14,30/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1406.csv
Factura nº  2016-163,Equipo de Sonido en  Jornada de Clausura  XXI Copa Diputación de Escuelas de Fútbol,Diputación de Cádiz,Diputación de Cádiz,877.25,Servicio,Contrato menor,3,30/04/2016,"SONIDO 5, S.L.",877.25,30/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1823.csv
165017PA00494,Patrocinio para la III Edición del Congreso de Bienestar y la Felicidad en Vejer de la Frontera,Diputación de Cádiz,Servicio  de Gestión,21778.79,Menores,Menores,1,30/04/2016,"Sociedad Española de Radiodifusión, S.L. (Cadena Ser)",21778.79,30/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/914.csv
2016/4853,REPARACION VEHICULO 3673 DNT,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,854.19,MENORES,MENORES,1,30/04/2016,"CABELLO MOTOR, S.L.",854.19,30/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1404.csv
2016/4854,REPARACION VEHICULO 3692 DNT,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,96.92,MENORES,MENORES,1,30/04/2016,"CABELLO MOTOR,S.L.",96.92,30/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1405.csv
Nº Factura 20160019,"Transporte de Porterías de Fútbol 7,  Chiclana Fra.- Ciudad Deportiva Bahía de Cádiz- Chiclana Fra. Desarrollo de la Jornada de Clausura  de la XXI Copa Diputación de Escuelas de Fútbol.",Diputación de Cádiz,Diputación de Cádiz,500.00,Servicio,Contrato menor,3,30/04/2016,ANTONIO GALLARDO MÁRQUEZ,495.84,30/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1826.csv
2016/4859,REPARACION VEHICULO 8830 GHB,Diputación de Cádiz,DIPUTACION PROVICIAL DE CADIZ,163.35,MENORES,MENORES,1,30/04/2016,"CABELLO MOTOR, S.L.",163.35,30/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1503.csv
2016/4858,REPARACION VEHICULO 8830 GHB,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,96.20,MENORES,MENORES,1,30/04/2016,CABELLO MOTOR S.L.,96.20,30/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1502.csv
2016/4856,REPARACION VEHICULO 4203 GLH,Diputación de Cádiz,DIPUTACION PROVINCIAL DE CADIZ,96.33,MENORES,MENORES,1,30/04/2016,"CABELLO MOTOR, S.L.",96.33,30/04/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/1501.csv
SERVI/00009/2016,Estudio Geotécnico Edificio usos múltiples en C/ Setenil de las Bodegas esquina C/ Antonio Machado en Algodonales,Diputación de Cádiz,Diputación Provincial,990,Servicios,Menor,3,03/05/2016,"Laboratorios Cogesur, S.L.",924,03/05/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/614.csv
SERVI/00011/2016,Edición de los números 15 y 16 de la Colección Alumbre 1) Nº 15 Narrativa: Y sin embargo vencidos. 2) Nº 16 Poesía: Nadie Sangra sin herida,Diputación de Cádiz,Diputación Provincial,5913.46,Servicios,Menor,3,03/05/2016,"Línea Offset Lipper, S.L.",5913.45,03/05/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/611.csv
SUMIN/00018/2016,"Mampara/Biombo divisorio H: 1800 para la oficina del CAEL, en Edificio Europa, Zona Franca, Cádiz",Diputación de Cádiz,Diputación Provincial,4320,Suministro,Menor,5,03/05/2016,"Ofisal Oficinas, S.L.",3062,03/05/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/608.csv
16CAG00065,"Talleres GANESHA de Educación para el Desarrollo de centros de mayores, realizado en el municipio de Alcalá de los Gazules",Diputación de Cádiz,Servicio de Cooperación Internacional,820.00,Menores,Menores,1,05/05/2016,SMART,820.00,05/05/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/910.csv
SUMIN/00009/2016,"2 Camascopios, 4 baterías, 2 cargadores, 2 micrófonos, 2 cables, 2 bolsas, 2 kit trípodes, 1 disco duro",Diputación de Cádiz,Diputación Provincial,11239.67,Suministro,Menor,8,09/05/2016,"provídeo sevilla, S.L.",9992,09/05/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/605.csv
SERVI/00015/2016,Coord. Seg.y S. obra desvío provisional puente P.K. 7 en la CA-6108,Diputación de Cádiz,Diputación Provincial,289.26,Servicios,Menor,3,11/05/2016,"S.G.S. Tecnos, S.A.",200,11/05/2016,,http://apirtod.dipucadiz.es/api/datos/contratos_menores/619.csv
